Gene_name,Ensemble_id,Protein_ensembl_id,Locus
ADORA1,ENSCAFG00845014197,ENSCAFP00845019987.1,7:55304:83603:-1
MYOG,ENSCAFG00845014215,ENSCAFP00845020004.1,7:122762:125152:1
PPFIA4,ENSCAFG00845014290,ENSCAFP00845020429.1,7:129333:174840:-1
TMEM183A,ENSCAFG00845014504,ENSCAFP00845020457.1,7:177095:191163:-1
MGAT4F,ENSCAFG00845014563,ENSCAFP00845020646.1,7:226290:229981:1
CYB5R1,ENSCAFG00845014655,ENSCAFP00845020668.1,7:242022:247220:1
ADIPOR1,ENSCAFG00845014708,ENSCAFP00845020780.1,7:249706:293556:1
RABIF,ENSCAFG00845014768,ENSCAFP00845020805.1,7:296037:306166:1
TUBA5,ENSCAFG00845014789,ENSCAFP00845020852.1,7:305013:317703:1
KDM5B,ENSCAFG00845014886,ENSCAFP00845021124.1,7:339835:422462:1
SYT2,ENSCAFG00845015072,ENSCAFP00845021216.1,7:433408:512622:1
PPP1R12B,ENSCAFG00845015228,ENSCAFP00845021624.1,7:517387:722447:-1
UBE2T,ENSCAFG00845015432,ENSCAFP00845021653.1,7:730546:745553:1
LGR6,ENSCAFG00845015504,ENSCAFP00845021894.1,7:740586:843239:-1
PTPRV,ENSCAFG00845015673,ENSCAFP00845022046.1,7:845750:861370:-1
PTPN7,ENSCAFG00845015780,ENSCAFP00845022134.1,7:867265:877241:1
ELF3,ENSCAFG00845015842,ENSCAFP00845022344.1,7:867651:971634:-1
ARL8A,ENSCAFG00845016129,ENSCAFP00845022626.1,7:877826:887026:1
GPR37L1,ENSCAFG00845016224,ENSCAFP00845022712.1,7:888709:895660:-1
RNPEP,ENSCAFG00845016328,ENSCAFP00845022875.1,7:974387:992593:-1
TIMM17A,ENSCAFG00845016456,ENSCAFP00845022973.1,7:1010177:1023535:-1
LMOD1,ENSCAFG00845016513,ENSCAFP00845023021.1,7:1032678:1067645:1
IPO9,ENSCAFG00845016777,ENSCAFP00845023638.1,7:1080459:1139463:-1
NAV1,ENSCAFG00845017163,ENSCAFP00845024041.1,7:1147318:1310916:-1
CSRP1,ENSCAFG00845017561,ENSCAFP00845024538.1,7:1404764:1428562:1
PHLDA3,ENSCAFG00845017736,ENSCAFP00845024593.1,7:1444920:1445304:1
TNNI1,ENSCAFG00845017824,ENSCAFP00845024825.1,7:1482035:1489861:1
TNNT2,ENSCAFG00845018341,ENSCAFP00845025577.1,7:1506646:1543842:1
PKP1,ENSCAFG00845018597,ENSCAFP00845025743.1,7:1559535:1605354:-1
CACNA1S,ENSCAFG00845018882,ENSCAFP00845026207.1,7:1715250:1734554:1
ASCL5,ENSCAFG00845019036,ENSCAFP00845026286.1,7:1753169:1753742:1
CACNA1S,ENSCAFG00845019094,ENSCAFP00845026688.1,7:1755327:1818919:1
KIF21B,ENSCAFG00845019617,ENSCAFP00845027896.1,7:1831430:1877751:1
INAVA,ENSCAFG00845020693,ENSCAFP00845028704.1,7:1910822:1930938:-1
GPR25,ENSCAFG00845020852,ENSCAFP00845028786.1,7:1951102:1952176:-1
CAMSAP2,ENSCAFG00845020940,ENSCAFP00845029486.1,7:1964322:2080846:-1
DDX59,ENSCAFG00845021459,ENSCAFP00845029723.1,7:2148047:2176559:1
KIF14,ENSCAFG00845021665,ENSCAFP00845030926.1,7:2195259:2249717:1
ZNF281,ENSCAFG00845022530,ENSCAFP00845031180.1,7:2364810:2432792:1
NR5A2,ENSCAFG00845022651,ENSCAFP00845031443.1,7:2575835:2711009:-1
PTPRC,ENSCAFG00845023211,ENSCAFP00845033647.1,7:3809640:3967858:-1
ATP6V1G3,ENSCAFG00845024470,ENSCAFP00845033877.1,7:4054386:4074504:1
NEK7,ENSCAFG00845024544,ENSCAFP00845034317.1,7:4244696:4401233:-1
LHX9,ENSCAFG00845024899,ENSCAFP00845034617.1,7:4569192:4588584:-1
C1orf53,ENSCAFG00845025070,ENSCAFP00845034700.1,7:4593491:4598379:-1
DENND1B,ENSCAFG00845000932,ENSCAFP00845001257.1,7:4693826:4951586:1
CRB1,ENSCAFG00845000998,ENSCAFP00845001445.1,7:4967445:5180191:-1
ZBTB41,ENSCAFG00845001087,ENSCAFP00845001475.1,7:5233392:5277364:1
ASPM,ENSCAFG00845001126,ENSCAFP00845001526.1,7:5281132:5357008:1
F13B,ENSCAFG00845001160,ENSCAFP00845001552.1,7:5370529:5396990:1
CFHR5,ENSCAFG00845001195,ENSCAFP00845001614.1,7:5418421:5448895:-1
DYRK3,ENSCAFG00845001227,ENSCAFP00845001664.1,7:5506503:5516606:1
MAPKAPK2,ENSCAFG00845001257,ENSCAFP00845001723.1,7:5546051:5590777:1
IL10,ENSCAFG00845001289,ENSCAFP00845001769.1,7:5622078:5626428:-1
IL19,ENSCAFG00845001334,ENSCAFP00845001818.1,7:5690392:5696158:1
IL20,ENSCAFG00845001359,ENSCAFP00845001859.1,7:5708816:5712450:1
IL24,ENSCAFG00845001393,ENSCAFP00845001906.1,7:5730964:5736902:1
FCMR,ENSCAFG00845001426,ENSCAFP00845001956.1,7:5735656:5753403:-1
PIGR,ENSCAFG00845001456,ENSCAFP00845001984.1,7:5759270:5776498:-1
FCAMR,ENSCAFG00845001489,ENSCAFP00845002039.1,7:5785775:5798854:-1
YOD1,ENSCAFG00845001600,ENSCAFP00845002187.1,7:5874443:5882058:-1
PFKFB2,ENSCAFG00845001627,ENSCAFP00845002289.1,7:5884640:5908751:1
C4BPB,ENSCAFG00845001679,ENSCAFP00845002353.1,7:5913911:5925657:1
CD55,ENSCAFG00845001766,ENSCAFP00845002709.1,7:6049142:6077363:1
CD34,ENSCAFG00845002498,ENSCAFP00845003569.1,7:6422991:6447293:-1
CAMK1G,ENSCAFG00845002606,ENSCAFP00845003714.1,7:7941631:7971831:1
LAMB3,ENSCAFG00845002662,ENSCAFP00845003791.1,7:7973112:8012658:-1
G0S2,ENSCAFG00845002694,ENSCAFP00845003828.1,7:8036911:8037199:1
HSD11B1,ENSCAFG00845002717,ENSCAFP00845003870.1,7:8045391:8110389:1
HSD11B1,ENSCAFG00845002797,ENSCAFP00845004026.1,7:8121699:8144989:1
C7H1orf74,ENSCAFG00845002876,ENSCAFP00845004052.1,7:8141015:8147202:-1
IRF6,ENSCAFG00845002898,ENSCAFP00845004093.1,7:8148401:8167733:-1
UTP25,ENSCAFG00845002933,ENSCAFP00845004120.1,7:8188838:8215357:1
SYT14,ENSCAFG00845002980,ENSCAFP00845004224.1,7:8285870:8488136:1
SERTAD4,ENSCAFG00845003084,ENSCAFP00845004319.1,7:8551639:8562943:1
HHAT,ENSCAFG00845003133,ENSCAFP00845004414.1,7:8637215:8946328:1
KCNH1,ENSCAFG00845003207,ENSCAFP00845004488.1,7:8954636:9334074:-1
RCOR3,ENSCAFG00845003256,ENSCAFP00845004595.1,7:9422813:9475915:1
TRAF5,ENSCAFG00845003309,ENSCAFP00845004678.1,7:9487588:9535453:1
RD3,ENSCAFG00845003339,ENSCAFP00845004718.1,7:9579447:9582414:-1
SLC30A1,ENSCAFG00845003355,ENSCAFP00845004737.1,7:9659292:9665282:-1
NEK2,ENSCAFG00845003393,ENSCAFP00845004784.1,7:9745397:9758560:-1
LPGAT1,ENSCAFG00845003454,ENSCAFP00845004951.1,7:9795668:9890585:-1
INTS7,ENSCAFG00845003540,ENSCAFP00845005056.1,7:9945256:10030159:-1
DTL,ENSCAFG00845003601,ENSCAFP00845005118.1,7:10030369:10073719:1
PPP2R5A,ENSCAFG00845003647,ENSCAFP00845005240.1,7:10208104:10272195:1
PACC1,ENSCAFG00845003695,ENSCAFP00845005277.1,7:10273754:10312420:-1
NENF,ENSCAFG00845003726,ENSCAFP00845005295.1,7:10319552:10330203:1
ATF3,ENSCAFG00845003749,ENSCAFP00845005340.1,7:10486861:10500881:1
GARIN4,ENSCAFG00845003772,ENSCAFP00845005351.1,7:10505775:10507428:1
BATF3,ENSCAFG00845003785,ENSCAFP00845005371.1,7:10549429:10563388:-1
NSL1,ENSCAFG00845003808,ENSCAFP00845005454.1,7:10569583:10636529:-1
TATDN3,ENSCAFG00845003857,ENSCAFP00845005537.1,7:10636503:10655087:1
FLVCR1,ENSCAFG00845001151,ENSCAFP00845001560.1,7:10707432:10745177:1
VASH2,ENSCAFG00845001231,ENSCAFP00845001699.1,7:10778754:10815309:1
ANGEL2,ENSCAFG00845001293,ENSCAFP00845001777.1,7:10818474:10858587:-1
RPS6KC1,ENSCAFG00845001399,ENSCAFP00845002014.1,7:10858706:11035852:1
PROX1,ENSCAFG00845001606,ENSCAFP00845002202.1,7:11705619:11755413:1
SMYD2,ENSCAFG00845001630,ENSCAFP00845002247.1,7:11991445:12044237:1
PTPN14,ENSCAFG00845001665,ENSCAFP00845002370.1,7:12053021:12196693:-1
CENPF,ENSCAFG00845001752,ENSCAFP00845002537.1,7:12265608:12328372:1
TOR1AIP1,ENSCAFG00845002082,ENSCAFP00845002942.1,7:13179964:13266838:1
CEP350,ENSCAFG00845002165,ENSCAFP00845003074.1,7:13250457:13404722:1
QSOX1,ENSCAFG00845002288,ENSCAFP00845003279.1,7:13446566:13482619:1
LHX4,ENSCAFG00845002410,ENSCAFP00845003389.1,7:13507652:13549318:1
ACBD6,ENSCAFG00845002431,ENSCAFP00845003417.1,7:13564203:13771514:-1
XPR1,ENSCAFG00845002485,ENSCAFP00845003562.1,7:13892764:14107009:1
KIAA1614,ENSCAFG00845002551,ENSCAFP00845003621.1,7:14130440:14173158:1
STX6,ENSCAFG00845002602,ENSCAFP00845003691.1,7:14184064:14232056:-1
IER5,ENSCAFG00845002628,ENSCAFP00845003723.1,7:14282093:14286826:1
CACNA1E,ENSCAFG00845003292,ENSCAFP00845005697.1,7:14504231:15000034:1
ZNF648,ENSCAFG00845003989,ENSCAFP00845005718.1,7:15209803:15211513:-1
GLUL,ENSCAFG00845004011,ENSCAFP00845005760.1,7:15461335:15470695:-1
RGSL1,ENSCAFG00845004103,ENSCAFP00845005913.1,7:15471397:15604074:1
RNASEL,ENSCAFG00845004220,ENSCAFP00845005997.1,7:15584821:15731112:-1
RGS16,ENSCAFG00845004237,ENSCAFP00845006010.1,7:15739615:15744690:-1
RGS8,ENSCAFG00845004254,ENSCAFP00845006055.1,7:15782584:15823201:-1
NPL,ENSCAFG00845004288,ENSCAFP00845006130.1,7:15915241:15952901:1
DHX9,ENSCAFG00845004316,ENSCAFP00845006158.1,7:15962804:16022144:1
SHCBP1L,ENSCAFG00845004328,ENSCAFP00845006172.1,7:16029266:16073921:-1
LAMC1,ENSCAFG00845004353,ENSCAFP00845006210.1,7:16136950:16257388:1
LAMC2,ENSCAFG00845004476,ENSCAFP00845006367.1,7:16299573:16357226:1
NMNAT2,ENSCAFG00845004555,ENSCAFP00845006414.1,7:16359938:16551872:-1
SMG7,ENSCAFG00845004606,ENSCAFP00845006506.1,7:16551995:16645376:1
NCF2,ENSCAFG00845004665,ENSCAFP00845006611.1,7:16643323:16676880:-1
ARPC5,ENSCAFG00845004705,ENSCAFP00845006623.1,7:16708288:16717742:-1
RGL1,ENSCAFG00845004730,ENSCAFP00845006700.1,7:16718184:16968890:1
APOBEC4,ENSCAFG00845004750,ENSCAFP00845006712.1,7:16729021:16730125:-1
COLGALT2,ENSCAFG00845004769,ENSCAFP00845006771.1,7:16943745:17078092:-1
TSEN15,ENSCAFG00845004809,ENSCAFP00845006804.1,7:17091127:17140284:1
C7H1orf21,ENSCAFG00845004840,ENSCAFP00845006838.1,7:17367206:17585238:1
EDEM3,ENSCAFG00845004880,ENSCAFP00845006934.1,7:17654410:17725335:-1
NIBAN1,ENSCAFG00845004962,ENSCAFP00845007044.1,7:17758288:17967642:-1
RNF2,ENSCAFG00845005008,ENSCAFP00845007079.1,7:17967946:18014756:1
TRMT1L,ENSCAFG00845005028,ENSCAFP00845007120.1,7:18026952:18062433:-1
SWT1,ENSCAFG00845005058,ENSCAFP00845007163.1,7:18062716:18157442:1
IVNS1ABP,ENSCAFG00845005101,ENSCAFP00845007228.1,7:18149298:18184203:-1
HMCN1,ENSCAFG00845005182,ENSCAFP00845007347.1,7:18532241:18990049:1
PRG4,ENSCAFG00845005297,ENSCAFP00845007411.1,7:19096095:19113006:1
TPR,ENSCAFG00845005356,ENSCAFP00845007451.1,7:19112978:19179044:-1
ODR4,ENSCAFG00845005349,ENSCAFP00845007431.1,7:19179151:19219884:1
PDC,ENSCAFG00845005358,ENSCAFP00845007448.1,7:19234871:19250306:-1
PTGS2,ENSCAFG00845005378,ENSCAFP00845007477.1,7:19405503:19412176:-1
PLA2G4A,ENSCAFG00845005405,ENSCAFP00845007530.1,7:19570228:19692274:1
FAM163A,ENSCAFG00845005470,ENSCAFP00845007623.1,7:19881914:19960506:-1
TDRD5,ENSCAFG00845005525,ENSCAFP00845007738.1,7:19997295:20078982:-1
NPHS2,ENSCAFG00845005636,ENSCAFP00845007814.1,7:20091035:20110222:1
AXDND1,ENSCAFG00845005695,ENSCAFP00845007978.1,7:20118934:20217099:-1
SOAT1,ENSCAFG00845005946,ENSCAFP00845008286.1,7:20220697:20293045:-1
ABL2,ENSCAFG00845006265,ENSCAFP00845009141.1,7:20356794:20463911:1
FAM20B,ENSCAFG00845006695,ENSCAFP00845009276.1,7:20490453:20530600:-1
RALGPS2,ENSCAFG00845006806,ENSCAFP00845009660.1,7:20605987:20771639:-1
ANGPTL1,ENSCAFG00845007066,ENSCAFP00845009825.1,7:20658124:20684039:1
TEX35,ENSCAFG00845007206,ENSCAFP00845009957.1,7:20941642:20951092:-1
CLEC20A,ENSCAFG00845007284,ENSCAFP00845010040.1,7:20967546:20982180:1
RASAL2,ENSCAFG00845007594,ENSCAFP00845010643.1,7:20987397:21331779:-1
SEC16B,ENSCAFG00845008020,ENSCAFP00845010965.1,7:21423397:21479465:1
BRINP2,ENSCAFG00845008161,ENSCAFP00845011151.1,7:22072720:22195861:-1
ASTN1,ENSCAFG00845008345,ENSCAFP00845011525.1,7:22193341:22504025:1
PAPPA2,ENSCAFG00845008546,ENSCAFP00845011822.1,7:22519706:22982506:-1
COP1,ENSCAFG00845008923,ENSCAFP00845012590.1,7:23069322:23326866:1
TNR,ENSCAFG00845009439,ENSCAFP00845013420.1,7:23467780:23877432:1
KIAA0040,ENSCAFG00845009948,ENSCAFP00845013593.1,7:23982027:23982330:1
TNN,ENSCAFG00845010094,ENSCAFP00845014559.1,7:23993194:24090712:-1
MRPS14,ENSCAFG00845010653,ENSCAFP00845014652.1,7:24090193:24117251:1
CACYBP,ENSCAFG00845010691,ENSCAFP00845014725.1,7:24120356:24131667:-1
RABGAP1L,ENSCAFG00845010836,ENSCAFP00845015248.1,7:24142531:24882672:-1
GPR52,ENSCAFG00845011065,ENSCAFP00845015323.1,7:24596654:24810192:-1
RC3H1,ENSCAFG00845011133,ENSCAFP00845015537.1,7:24983030:25055836:1
SERPINC1,ENSCAFG00845011264,ENSCAFP00845015645.1,7:25066204:25083857:1
ZBTB37,ENSCAFG00845011299,ENSCAFP00845015703.1,7:25100657:25112286:-1
DARS2,ENSCAFG00845011438,ENSCAFP00845015914.1,7:25129461:25158083:-1
CENPL,ENSCAFG00845011521,ENSCAFP00845016015.1,7:25162368:25173970:1
KLHL20,ENSCAFG00845011589,ENSCAFP00845016247.1,7:25181409:25235592:-1
SLC9C2,ENSCAFG00845011770,ENSCAFP00845016856.1,7:25259783:25409776:1
TEX50,ENSCAFG00845012113,ENSCAFP00845016916.1,7:25287757:25289582:-1
PRDX6,ENSCAFG00845012128,ENSCAFP00845016941.1,7:25410887:25427580:-1
TNFSF4,ENSCAFG00845012176,ENSCAFP00845017016.1,7:25634527:25660603:1
TNFSF18,ENSCAFG00845012199,ENSCAFP00845017050.1,7:25734079:25744296:1
FASLG,ENSCAFG00845012259,ENSCAFP00845017144.1,7:26086385:26094750:-1
SUCO,ENSCAFG00845012367,ENSCAFP00845017551.1,7:26126202:26215320:-1
C7H1orf105,ENSCAFG00845012634,ENSCAFP00845017731.1,7:26276130:26312739:-1
PIGC,ENSCAFG00845012759,ENSCAFP00845017837.1,7:26300014:26302740:1
DNM3,ENSCAFG00845012888,ENSCAFP00845018215.1,7:26315836:26863372:-1
METTL13,ENSCAFG00845013124,ENSCAFP00845018347.1,7:26912773:26928537:-1
VAMP4,ENSCAFG00845000980,ENSCAFP00845001333.1,7:27051312:27107216:1
MYOC,ENSCAFG00845001014,ENSCAFP00845001380.1,7:27136390:27148079:1
MYOCOS,ENSCAFG00845001035,ENSCAFP00845001402.1,7:27157249:27160637:-1
PRRC2C,ENSCAFG00845001137,ENSCAFP00845001738.1,7:27173834:27276068:-1
FMO4,ENSCAFG00845001330,ENSCAFP00845001815.1,7:27369359:27397637:-1
FMO1,ENSCAFG00845001369,ENSCAFP00845001890.1,7:27400509:27424542:-1
FMO2,ENSCAFG00845001415,ENSCAFP00845001936.1,7:27436372:27460628:-1
FMO3,ENSCAFG00845001467,ENSCAFP00845001992.1,7:27522169:27547286:-1
MROH9,ENSCAFG00845001591,ENSCAFP00845002278.1,7:27601778:27700709:-1
PRRX1,ENSCAFG00845001662,ENSCAFP00845002326.1,7:27867528:27939818:-1
GORAB,ENSCAFG00845001687,ENSCAFP00845002354.1,7:28023803:28043192:-1
NTMT2,ENSCAFG00845001718,ENSCAFP00845002400.1,7:28326277:28345227:-1
KIFAP3,ENSCAFG00845001773,ENSCAFP00845002536.1,7:28395163:28542155:1
SCYL3,ENSCAFG00845001874,ENSCAFP00845002706.1,7:28553471:28597906:1
FIRRM,ENSCAFG00845002005,ENSCAFP00845002800.1,7:28597640:28637879:-1
METTL18,ENSCAFG00845002040,ENSCAFP00845002822.1,7:28637566:28640363:1
SELE,ENSCAFG00845002098,ENSCAFP00845002947.1,7:28690093:28700681:1
SELL,ENSCAFG00845002153,ENSCAFP00845003021.1,7:28708711:28731608:1
SELP,ENSCAFG00845002229,ENSCAFP00845003230.1,7:28760326:28798333:1
F5,ENSCAFG00845002341,ENSCAFP00845003344.1,7:28801236:28871399:1
SLC19A2,ENSCAFG00845002427,ENSCAFP00845003425.1,7:28896044:28914377:1
CCDC181,ENSCAFG00845002455,ENSCAFP00845003452.1,7:28915562:28975725:1
BLZF1,ENSCAFG00845002482,ENSCAFP00845003510.1,7:28983503:29008078:-1
NME7,ENSCAFG00845002507,ENSCAFP00845003545.1,7:29008283:29265621:1
ATP1B1,ENSCAFG00845002526,ENSCAFP00845003573.1,7:29265439:29289555:-1
DPT,ENSCAFG00845002540,ENSCAFP00845003594.1,7:29647764:29672841:1
TBX19,ENSCAFG00845002647,ENSCAFP00845003902.1,7:29804954:30156563:-1
GPR161,ENSCAFG00845002814,ENSCAFP00845004022.1,7:30182445:30224803:1
DCAF6,ENSCAFG00845003001,ENSCAFP00845004442.1,7:30231670:30362811:-1
MPC2,ENSCAFG00845003221,ENSCAFP00845004496.1,7:30361819:30392384:1
ADCY10,ENSCAFG00845003255,ENSCAFP00845004627.1,7:30395908:30479360:1
MPZL1,ENSCAFG00845003331,ENSCAFP00845004721.1,7:30491245:30559831:-1
RCSD1,ENSCAFG00845003387,ENSCAFP00845004820.1,7:30574559:30670802:-1
CREG1,ENSCAFG00845003446,ENSCAFP00845004866.1,7:30692273:30703079:1
CD247,ENSCAFG00845003466,ENSCAFP00845004905.1,7:30717801:30793463:1
POU2F1,ENSCAFG00845003507,ENSCAFP00845005039.1,7:30807445:30984164:-1
STYXL2,ENSCAFG00845003580,ENSCAFP00845005060.1,7:31063788:31094514:-1
GPA33,ENSCAFG00845003633,ENSCAFP00845005155.1,7:31098462:31144582:1
MAEL,ENSCAFG00845003655,ENSCAFP00845005219.1,7:31186012:31216511:-1
ILDR2,ENSCAFG00845003741,ENSCAFP00845005564.1,7:31230499:31286980:1
TADA1,ENSCAFG00845003902,ENSCAFP00845005602.1,7:31335103:31351740:1
POGK,ENSCAFG00845003914,ENSCAFP00845005616.1,7:31353482:31368302:-1
GREM2,ENSCAFG00845004033,ENSCAFP00845005770.1,7:31870254:31981697:-1
RGS7,ENSCAFG00845004226,ENSCAFP00845006176.1,7:32121409:32618757:-1
FH,ENSCAFG00845004348,ENSCAFP00845006196.1,7:32726853:32753869:-1
KMO,ENSCAFG00845004366,ENSCAFP00845006207.1,7:32767899:32821021:1
OPN3,ENSCAFG00845004379,ENSCAFP00845006218.1,7:32823416:32867883:-1
CHML,ENSCAFG00845004391,ENSCAFP00845006235.1,7:32860223:32867701:-1
WDR64,ENSCAFG00845004435,ENSCAFP00845006300.1,7:32866944:33011607:1
EXO1,ENSCAFG00845004521,ENSCAFP00845006365.1,7:33064114:33094883:1
BECN2,ENSCAFG00845004546,ENSCAFP00845006382.1,7:33144314:33176421:1
MAP1LC3C,ENSCAFG00845004557,ENSCAFP00845006396.1,7:33191651:33195673:-1
PLD5,ENSCAFG00845004571,ENSCAFP00845006433.1,7:33253064:33659964:-1
CEP170,ENSCAFG00845004652,ENSCAFP00845006644.1,7:34091155:34222655:-1
SDCCAG8,ENSCAFG00845004779,ENSCAFP00845006805.1,7:34223280:34458680:1
AKT3,ENSCAFG00845004858,ENSCAFP00845006886.1,7:34458303:34769283:-1
ZBTB18,ENSCAFG00845004904,ENSCAFP00845006910.1,7:34857685:34958027:1
SPMIP3,ENSCAFG00845005216,ENSCAFP00845007323.1,7:35236220:35260598:1
ADSS2,ENSCAFG00845005250,ENSCAFP00845007361.1,7:35267843:35304386:-1
CATSPERE,ENSCAFG00845005306,ENSCAFP00845007503.1,7:35305260:35503899:1
DESI2,ENSCAFG00845005415,ENSCAFP00845007536.1,7:35516659:35563350:1
COX20,ENSCAFG00845005435,ENSCAFP00845007590.1,7:35560903:35653119:1
HNRNPU,ENSCAFG00845005509,ENSCAFP00845007789.1,7:35655400:35672356:-1
KIF26B,ENSCAFG00845005694,ENSCAFP00845007919.1,7:35918423:36354046:1
SMYD3,ENSCAFG00845005785,ENSCAFP00845007981.1,7:36396599:37082534:-1
TFB2M,ENSCAFG00845005847,ENSCAFP00845008064.1,7:37085570:37110687:-1
CNST,ENSCAFG00845005933,ENSCAFP00845008373.1,7:37110561:37233434:1
SCCPDH,ENSCAFG00845006130,ENSCAFP00845008494.1,7:37281170:37324416:1
AHCTF1,ENSCAFG00845006427,ENSCAFP00845009240.1,7:37385200:37461599:-1
CDC42BPA,ENSCAFG00845007016,ENSCAFP00845010442.1,7:37608476:37915525:1
COQ8A,ENSCAFG00845007817,ENSCAFP00845010807.1,7:37919585:37957561:-1
PSEN2,ENSCAFG00845008023,ENSCAFP00845011070.1,7:37980699:38006369:-1
ITPKB,ENSCAFG00845008212,ENSCAFP00845011221.1,7:38087506:38185299:1
STUM,ENSCAFG00845008283,ENSCAFP00845011285.1,7:38198119:38253779:-1
PARP1,ENSCAFG00845008325,ENSCAFP00845011348.1,7:38336477:38376795:1
LIN9,ENSCAFG00845008477,ENSCAFP00845012004.1,7:38401788:38481897:1
MIXL1,ENSCAFG00845008836,ENSCAFP00845012056.1,7:38479198:38488154:-1
EIF3L,ENSCAFG00845008860,ENSCAFP00845012087.1,7:38495256:38497581:-1
ACBD3,ENSCAFG00845008884,ENSCAFP00845012135.1,7:38523654:38566210:1
H3-3A,ENSCAFG00845008917,ENSCAFP00845012184.1,7:38630567:38638856:-1
SDE2,ENSCAFG00845008939,ENSCAFP00845012235.1,7:38689286:38703628:1
PYCR2,ENSCAFG00845009034,ENSCAFP00845012458.1,7:38736693:38739920:1
TMEM63A,ENSCAFG00845009155,ENSCAFP00845012760.1,7:38771005:38798314:1
EPHX1,ENSCAFG00845009397,ENSCAFP00845012957.1,7:38798290:38833208:-1
SRP9,ENSCAFG00845009505,ENSCAFP00845013060.1,7:38848514:38856993:-1
ENAH,ENSCAFG00845009892,ENSCAFP00845014912.1,7:38938016:39084402:1
LBR,ENSCAFG00845010980,ENSCAFP00845015360.1,7:39121974:39143213:1
DNAH14,ENSCAFG00845011498,ENSCAFP00845017013.1,7:39144770:39475366:-1
CNIH3,ENSCAFG00845012278,ENSCAFP00845017189.1,7:39589450:39680461:-1
WDR26,ENSCAFG00845012382,ENSCAFP00845017310.1,7:39799504:39837473:1
CNIH4,ENSCAFG00845012452,ENSCAFP00845017451.1,7:39844575:39860616:-1
NVL,ENSCAFG00845012656,ENSCAFP00845017880.1,7:39876246:39966968:1
DEGS1,ENSCAFG00845012915,ENSCAFP00845018003.1,7:39980405:39992266:-1
FBXO28,ENSCAFG00845012940,ENSCAFP00845018060.1,7:40003567:40037179:-1
TP53BP2,ENSCAFG00845013060,ENSCAFP00845018267.1,7:40106089:40162517:1
CAPN2,ENSCAFG00845013136,ENSCAFP00845018497.1,7:40166085:40204215:-1
CD5L,ENSCAFG00845013426,ENSCAFP00845018815.1,7:40348132:40372831:1
FCRL1,ENSCAFG00845013495,ENSCAFP00845018951.1,7:40367537:40382153:1
FCRL2,ENSCAFG00845013579,ENSCAFP00845019041.1,7:40387965:40406239:1
FCRL4,ENSCAFG00845013675,ENSCAFP00845019305.1,7:40475883:40550755:1
ETV3,ENSCAFG00845013939,ENSCAFP00845019600.1,7:40816577:40831146:1
ETV3L,ENSCAFG00845013961,ENSCAFP00845019628.1,7:40843346:40854119:1
ARHGEF11,ENSCAFG00845014149,ENSCAFP00845020752.1,7:40874218:40960633:1
LRRC71,ENSCAFG00845014779,ENSCAFP00845020828.1,7:40960288:40972517:-1
PEAR1,ENSCAFG00845014845,ENSCAFP00845020995.1,7:40973290:40992724:-1
NTRK1,ENSCAFG00845015005,ENSCAFP00845021204.1,7:41003174:41037050:-1
INSRR,ENSCAFG00845007933,ENSCAFP00845010827.1,7:41023277:41039195:1
SH2D2A,ENSCAFG00845008042,ENSCAFP00845010989.1,7:41049234:41058512:1
PRCC,ENSCAFG00845008089,ENSCAFP00845011055.1,7:41063255:41087740:-1
METTL25B,ENSCAFG00845008186,ENSCAFP00845011175.1,7:41097892:41121254:-1
HDGF,ENSCAFG00845008237,ENSCAFP00845011244.1,7:41101813:41110613:1
MRPL24,ENSCAFG00845008288,ENSCAFP00845011295.1,7:41111501:41115269:1
ISG20L2,ENSCAFG00845008331,ENSCAFP00845011341.1,7:41121638:41127341:1
CRABP2,ENSCAFG00845008366,ENSCAFP00845011409.1,7:41141032:41145716:1
NES,ENSCAFG00845008504,ENSCAFP00845011576.1,7:41160197:41168746:1
BCAN,ENSCAFG00845008548,ENSCAFP00845011708.1,7:41176717:41248421:-1
HAPLN2,ENSCAFG00845008623,ENSCAFP00845011806.1,7:41204834:41209776:-1
NAXE,ENSCAFG00845008732,ENSCAFP00845011924.1,7:41230428:41232898:-1
IQGAP3,ENSCAFG00845008852,ENSCAFP00845012229.1,7:41248318:41283331:1
MEF2D,ENSCAFG00845009027,ENSCAFP00845012415.1,7:41306638:41336539:1
RHBG,ENSCAFG00845009336,ENSCAFP00845012842.1,7:41403099:41430761:-1
CCT3,ENSCAFG00845009435,ENSCAFP00845013008.1,7:41431095:41449272:1
GLMP,ENSCAFG00845009558,ENSCAFP00845013160.1,7:41452577:41455381:1
TMEM79,ENSCAFG00845009619,ENSCAFP00845013204.1,7:41456375:41460343:-1
PAQR6,ENSCAFG00845009665,ENSCAFP00845013300.1,7:41462677:41494424:1
SMG5,ENSCAFG00845009772,ENSCAFP00845013466.1,7:41462688:41494389:1
BGLAP,ENSCAFG00845009909,ENSCAFP00845013570.1,7:41494524:41516608:-1
SLC25A44,ENSCAFG00845009963,ENSCAFP00845013626.1,7:41496714:41532560:-1
SEMA4A,ENSCAFG00845010023,ENSCAFP00845013774.1,7:41537569:41558851:-1
LMNA,ENSCAFG00845010163,ENSCAFP00845014050.1,7:41568715:41586490:-1
MEX3A,ENSCAFG00845010291,ENSCAFP00845014116.1,7:41609116:41614198:1
